images,Currency,Image url,Max Price,Min Price,Number of sold items,Price,Product Details Url,Rating score,Shipping cost,Store name,Store url,Product Title,,categories
https://ae01.alicdn.com/kf/S4648da22fc164ec0a96df12f7ddfb4ffA/New-mini-2-TWS-wireless-earphones-bluetooth-5-0-earphones-sports-earbuds-waterproof-earphones-for-iphone.jpg_220x220xz.jpg,MAD,//ae01.alicdn.com/kf/S4648da22fc164ec0a96df12f7ddfb4ffA/New-mini-2-TWS-wireless-earphones-bluetooth-5-0-earphones-sports-earbuds-waterproof-earphones-for-iphone.jpg_220x220xz.jpg, ,54.59,10259 vendu(s),MAD 54.59,fr.aliexpress.com/item/1005002277907649.html,4.5, ,EDS EIDESS WoSD flagship store Store,//fr.aliexpress.com/store/911603593,Écouteurs Sans Fil Bluetooth. Oreillettes de Sport. Étanches. pour Iphone. Huawei. Xiaomi. Nouveau. 5.0. Mini-2 TWS,,�couteurs et casques
https://ae01.alicdn.com/kf/H2ffab849b944463ab1d6b0c7e1d4e646S/Headphones-Bluetooth-Headset-Earphone-Wireless-Headphones-Stereo-Foldable-Sport-Earphone-Microphone-Headset-Handfree-MP3-Player.jpg_220x220xz.jpg,MAD,//ae01.alicdn.com/kf/H2ffab849b944463ab1d6b0c7e1d4e646S/Headphones-Bluetooth-Headset-Earphone-Wireless-Headphones-Stereo-Foldable-Sport-Earphone-Microphone-Headset-Handfree-MP3-Player.jpg_220x220xz.jpg, ,114.56,6714 vendu(s),MAD 114.56,fr.aliexpress.com/item/32757109028.html,4.7, ,Factory sales Wireless audio ,//fr.aliexpress.com/store/226163,Écouteurs Bluetooth sans fil stéréo pliables avec microphone. Casque d'écoute pour sport mains libres. pour lecteur MP3,,�couteurs et casques
https://ae01.alicdn.com/kf/H8893d2076d484bb486e72ec2178e298ec/100-Original-JBL-T280-TWS-Wireless-Bluetooth-Earphone-Headphone-Sports-Earbuds-Bass-Jbl-Headphones-Headset-T280TWS.jpg_220x220xz.jpg,MAD,//ae01.alicdn.com/kf/H8893d2076d484bb486e72ec2178e298ec/100-Original-JBL-T280-TWS-Wireless-Bluetooth-Earphone-Headphone-Sports-Earbuds-Bass-Jbl-Headphones-Headset-T280TWS.jpg_220x220xz.jpg, ,229.42,3468 vendu(s),MAD 229.42,fr.aliexpress.com/item/1005003040945096.html,4.1, ,kpop Global Store,//fr.aliexpress.com/store/5083387,JBL – écouteurs sans fil Bluetooth T280 TWS. oreillettes de sport. casque d'écoute. étui de chargement. 100% d'origine,,�couteurs et casques
https://ae01.alicdn.com/kf/S900aa5fb95194379acef3883310922e5G/Cartoon-tws-Wireless-5-0-Earphones-Earbuds-Sports-Handsfree-Earphone-Headset-Charging-Box-for-iPhone-Xiaomi.jpg_220x220xz.jpg,MAD,//ae01.alicdn.com/kf/S900aa5fb95194379acef3883310922e5G/Cartoon-tws-Wireless-5-0-Earphones-Earbuds-Sports-Handsfree-Earphone-Headset-Charging-Box-for-iPhone-Xiaomi.jpg_220x220xz.jpg, ,56.19,2 vendu(s),MAD 56.19,fr.aliexpress.com/item/1005004111443538.html, , ,heshuting Store,//fr.aliexpress.com/store/4501070,Écouteurs sans fil tws 5.0. oreillettes de sport. mains libres. boîte de chargement pour iPhone Xiaomi huawei Pho,,�couteurs et casques
https://ae01.alicdn.com/kf/H330a122df5034d6e9dc620fb7d0de4117/KZ-EDX-Crystal-Color-1DD-HIFI-Bass-Earbuds-In-Ear-Monitor-Headphones-Sport-Noise-Cancelling-Headset.jpg_220x220xz.jpg,MAD,//ae01.alicdn.com/kf/H330a122df5034d6e9dc620fb7d0de4117/KZ-EDX-Crystal-Color-1DD-HIFI-Bass-Earbuds-In-Ear-Monitor-Headphones-Sport-Noise-Cancelling-Headset.jpg_220x220xz.jpg, ,88.36,1204 vendu(s),MAD 88.36,fr.aliexpress.com/item/1005002642590957.html,4.9, ,Earphone Factory Derect Store,//fr.aliexpress.com/store/911658264,KZ – écouteurs intra-auriculaires EDX Crystal Color 1DD. basse HIFI. casque d'écoute de Sport. suppression du bruit,,�couteurs et casques
https://ae01.alicdn.com/kf/Hdb0422f4171746f59c9668439568a81dB/KZ-EDX-Earphones-1-Dynamic-HIFI-Bass-Earbuds-In-Ear-Monitor-Headphones-Sport-Noise-Cancelling-Headset.jpg_220x220xz.jpg,MAD,//ae01.alicdn.com/kf/Hdb0422f4171746f59c9668439568a81dB/KZ-EDX-Earphones-1-Dynamic-HIFI-Bass-Earbuds-In-Ear-Monitor-Headphones-Sport-Noise-Cancelling-Headset.jpg_220x220xz.jpg, ,34.47,4375 vendu(s),MAD 34.47,fr.aliexpress.com/item/1005001407239762.html,4.8, ,KZ Official Store,//fr.aliexpress.com/store/1358152,KZ – écouteurs intra-auriculaires dynamiques. basse. hi-fi. oreillettes de Sport. stop-bruit. EDX. 1 pièce,,�couteurs et casques
https://ae01.alicdn.com/kf/Scfd885eaf6134cabb9cd5fb0d68e84b2d/Original-Lenovo-LP40-Pro-TWS-Wireless-Earphones-Bluetooth-5-1-Sport-Noise-Reduction-Bass-Headphones-Touch.jpg_220x220xz.jpg,MAD,//ae01.alicdn.com/kf/Scfd885eaf6134cabb9cd5fb0d68e84b2d/Original-Lenovo-LP40-Pro-TWS-Wireless-Earphones-Bluetooth-5-1-Sport-Noise-Reduction-Bass-Headphones-Touch.jpg_220x220xz.jpg, ,120.24,117 vendu(s),MAD 120.24,fr.aliexpress.com/item/1005004105603200.html,5, ,Ruyun Store,//fr.aliexpress.com/store/5046073,Lenovo – écouteurs sans fil LP40 Pro TWS. Bluetooth 5.1. réduction du bruit. basse. commande tactile. 250mAH. originaux,,�couteurs et casques
https://ae01.alicdn.com/kf/S6ab3e5774bdf468d85b7753c1c917dddu/COWIN-E7-Upgraded-Active-Noise-Cancelling-Headphone-Wireless-Bluetooth-Headset-with-Microphone-Deep-Bass-Bluetooth-Headphones.jpg_220x220xz.jpg,MAD,//ae01.alicdn.com/kf/S6ab3e5774bdf468d85b7753c1c917dddu/COWIN-E7-Upgraded-Active-Noise-Cancelling-Headphone-Wireless-Bluetooth-Headset-with-Microphone-Deep-Bass-Bluetooth-Headphones.jpg_220x220xz.jpg, ,602.79,536 vendu(s),MAD 602.79,fr.aliexpress.com/item/4001247914788.html,4.8, ,cowin Official Store,//fr.aliexpress.com/store/2344011,COWIN E7 – E7 Casque antibruit actif Casque Bluetooth avec microphone Casque sans fil à basses profondes sur l'oreille. coussinets protéinés confortables. 30 heures de lecture pour les voyages,,�couteurs et casques
https://ae01.alicdn.com/kf/Sc341421aae13459b955cf6d36c4071226/TWS-Wireless-Earphone-Bluetooth-Headphone-5-1-Dual-Stereo-Noise-Reduction-Sport-Bass-Touch-Control-Headset.jpg_220x220xz.jpg,MAD,//ae01.alicdn.com/kf/Sc341421aae13459b955cf6d36c4071226/TWS-Wireless-Earphone-Bluetooth-Headphone-5-1-Dual-Stereo-Noise-Reduction-Sport-Bass-Touch-Control-Headset.jpg_220x220xz.jpg, ,10.76,1892 vendu(s),MAD 10.76,fr.aliexpress.com/item/1005004227459634.html,4.9, ,New Technology Headphones Store,//fr.aliexpress.com/store/1102059194,Écouteurs sans fil TWS Bluetooth 5.1. casque d'écoute. double stéréo. réduction de bruit. Sport. basse. commande tactile. longue durée de veille. 3000mAH,,�couteurs et casques
https://ae01.alicdn.com/kf/Scb0fda6c60fe465aa7103e69831e3098c/New-Original-Bluetooth-Earphone-Wireless-Headphones-Tws-Headset-Sports-In-Ear-Stereo-Earbuds-Waterproof-Noise-Reduction.jpg_220x220xz.jpg,MAD,//ae01.alicdn.com/kf/Scb0fda6c60fe465aa7103e69831e3098c/New-Original-Bluetooth-Earphone-Wireless-Headphones-Tws-Headset-Sports-In-Ear-Stereo-Earbuds-Waterproof-Noise-Reduction.jpg_220x220xz.jpg, ,0.09,7331 vendu(s),MAD 0.09,fr.aliexpress.com/item/1005004158703416.html,4.6, ,Global Headphones Store,//fr.aliexpress.com/store/1100251014,Écouteurs intra-auriculaires sans fil Bluetooth Tws. oreillettes de sport stéréo. étanche. réduction de bruit. micro HD. nouvelle collection,,�couteurs et casques
